,,,,S3-H-1/AO1/PV.CV,,S3-FIC-201/PID1/OUT.CV,,S3-FIC-201/AI1/PV.CV,,S3-LT-31/AI1/PV.CV,,S3-FT-23/AI1/PV.CV,
START TIME ,18.12.2023 20:05,,,20:05:00,0,20:05:00,0,20:05:00,0,20:05:00,74.15125275,20:05:00,0
STOP TIME ,18.12.2023 20:11,,,20:05:02,00:00:00,20:05:02,00:00:00,20:05:02,00:00:00,20:05:02,03:31:22,20:05:02,0
,,,,20:05:04,0,20:05:04,0,20:05:04,0,20:05:04,74.15572357,20:05:04,0
,,,,20:05:06,0,20:05:06,0,20:05:06,0,20:05:06,74.15795898,20:05:06,0
,,,,20:05:08,0,20:05:08,0,20:05:08,0,20:05:08,74.14901733,20:05:08,0
,,,,20:05:10,0,20:05:10,0,20:05:10,0,20:05:10,74.16242981,20:05:10,0
,,,,20:05:12,0,20:05:12,0,20:05:12,0,20:05:12,74.16242981,20:05:12,0
,,,,20:05:14,0,20:05:14,0,20:05:14,0,20:05:14,74.16242981,20:05:14,0
,,,,20:05:16,0,20:05:16,0,20:05:16,0,20:05:16,74.16242981,20:05:16,0
,,,,20:05:18,0,20:05:18,0,20:05:18,0,20:05:18,74.16242981,20:05:18,0
,,,,20:05:20,0,20:05:20,0,20:05:20,0,20:05:20,74.16690063,20:05:20,0
,,,,20:05:22,0,20:05:22,0,20:05:22,0,20:05:22,74.1780777,20:05:22,0
,,,,20:05:24,0,20:05:24,0,20:05:24,0,20:05:24,74.16914368,20:05:24,0
,,,,20:05:26,0,20:05:26,0,20:05:26,0,20:05:26,74.16690063,20:05:26,0
,,,,20:05:28,0,20:05:28,0,20:05:28,0,20:05:28,74.17584229,20:05:28,0
,,,,20:05:30,0,20:05:30,0,20:05:30,0,20:05:30,74.17137146,20:05:30,0
,,,,20:05:32,0,20:05:32,0,20:05:32,0,20:05:32,74.195961,20:05:32,0
,,,,20:05:34,0,20:05:34,0,20:05:34,0,20:05:34,74.18701935,20:05:34,0
,,,,20:05:36,0,20:05:36,0,20:05:36,0,20:05:36,74.18254852,20:05:36,0
,,,,20:05:38,0,20:05:38,0,20:05:38,0,20:05:38,74.19149017,20:05:38,0
,,,,20:05:40,0,20:05:40,0,20:05:40,0,20:05:40,74.19373322,20:05:40,0
,,,,20:05:42,0,20:05:42,0,20:05:42,0,20:05:42,74.18031311,20:05:42,0
,,,,20:05:44,0,20:05:44,0,20:05:44,0,20:05:44,74.18031311,20:05:44,0
,,,,20:05:46,0,20:05:46,0,20:05:46,0,20:05:46,74.18477631,20:05:46,0
,,,,20:05:48,0,20:05:48,0,20:05:48,0,20:05:48,74.19819641,20:05:48,0
,,,,20:05:50,0,20:05:50,0,20:05:50,0,20:05:50,74.19819641,20:05:50,0
,,,,20:05:52,0,20:05:52,0,20:05:52,0,20:05:52,74.19373322,20:05:52,0
,,,,20:05:54,0,20:05:54,0,20:05:54,0,20:05:54,74.18477631,20:05:54,0
